,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
403,404, frankenstien| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,his drug has given me back alot more quakity of life and is a miracle drug|only problem i have is i have chronic constipation since taking it and we are working on fixing that but they`ll pry this from my cold dead hands to take me off it after 18 years of pure misery and hell!frankenstien!!!,45-54,Male
404,405, stlken| 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I have used methadone to help me get off of heroin. Everything I tried didn't work until I tried Methadone. It was a lifesaver for me. It let me live a normal life| instead of a crazy one like heroin addicts do. If you really want to get off heroin and want to quit| try Methadone. I know that you will be happy with the outcome. But you have to want to quit and mean it.,55-64,Male
405,406, stlkenny| 55-64 Male  on Treatment for 5 to less than 10 years,5,5,5,Methadone oral has been a lifesaver for me. I was addicted to heroin for quite sometime and tried to quit on my own many times. I never could quit using until I started the methadone program. I have been clean for seven years now. Methadone was my lifesaver. It will help you| if you want to quit.,55-64,Male
406,407, Texankaty1| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I had a good experience with this drug.  However| my pain got so bad that I had to go to the Dr. and see about something stronger| and he ended up giving me things of lesser strength and the withdrawal symptoms started almost immediately so I have contacted him (after trying two other drugs that he suggested) and have asked for an increase in the dose of methadone and then use percocet for the breakthrough pain.,45-54,Female
407,408, henk| 45-54 Male  on Treatment for less than 1 month (Patient) ,1,1,1,I want to know how much of a dose you should start with ?,45-54,Male
408,409, patty| 55-64 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,his has been the one and only med that has help with my pa,55-64,Female
409,410, Tonya Marie Moore| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,1,1,1,My Doctor perscribed this for chronic pain and my multiple physical conditions. I recently| just today asked if I could stop this medication. It made me feel high| I was up all night at times. It also made me sleep and irritable. No this is not a good pain medication at all. I read what this medication is mainly for and the only symptom I have that this was needed for was pain issues| the other reason for taking this medication| was to treat withdrawls for narcotic uses| well the only type of pain medication I take is norco| and I take it as directed. I am a little curious as to why my doctor perscribed this| I do not and have not had any drug addiction problems to any of the drugs mentioned for treating addiction. Overall this medication| should be used for that putpose only| someone who has an addiction| and not for pain. I did a test to see if this medication was actually helping me. Well the side affects were awful| I felt awful and couldn't sleep| would sleep walk| and get severe headaches. I am glad I asked to stop this medication| it clearly is not for my pain condition.,35-44,Female
411,412, NeverAgain| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,5,5,3,rced quick detox has been horrible. It kept me off narcotics| but the withdrawals have been worse than the addiction ever was. I would not recommend this for anyone; reading this article made me realize just how much danger I was in by taking it| just by the medication I took symbiotically.,25-34,Female
413,414, Denise| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,"I am disabled with permanent nerve damage| and back injury (several surgeries/fusion). Used opiates| obviously you become physically addicted when you use any medication continuously. I had hangovers on the them| and Opiates ""spike"" so the maximum effect is short lived| unlike methadone that provides a continuous dose... so I have been very pleased with the results (I switched 3 years ago). I have never taken enough of any medication to completely relieve the pain... if I did I would be completely out of it... and what kind of life would that be? Methadone| thus far| has offered me the ""best"" life I can lead at this time.",45-54,Female
414,415, Trav| 35-44 Male  on Treatment for less than 1 month (Patient) ,4,5,4,Taking for phantom pain. It's the only thing out of a laundry-list of drugs to work. Only problem is trouble sleeping.,35-44,Male
415,416, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,4,3,Only problems seem to be trouble sleeping and loss of sex driv,45-54,Male
416,417, Janiceofohio| 55-64 Female  on Treatment for 1 to less than 2 years (Patient) ,4,5,5,I have Arachnoiditis| Degenerative Disk disease| and Cauda Equina Syndrome. I started out 10 years ago with Ty.3| then Vicodin. What I have is an incurable condition that is constant intractable pain that resembles cancer pain only without the benefit of death to look forward to. I am now on Methodone for the pain and it has been wonderful for me. I am on a minimum dose of 10mg. 3x day. I now am starting to gradually increase to 20mg.3x a day. I am very impressed with this medication as I do NOT feel high or feel anything| except low pain. As far as being a drug addict| I was told by my Dr. that I was just from taking Ty.3s etc... so what! If you have PAIN that doesn't respond to other Rx. then I suggest Methodone. I have been on it for almost a year now. I can function and walk like a NORMAL person. Without it I am bed riddin. Am I a drug addict ?| probably| but then again| I don't have to tell anybody what Rxs I take. That's My business! It works for me and that's all that counts. I don't have any appitite at all| and I went from a size 14 to a size 8-9 and the weight loss has also helped with the stress on the back. There are a few people that just don't benefit from it as far as reactions. This is my view on Methodone| and I am Very pleased with the drug. I wanted to share my view with anyone that was questioning it.  Thanks for reading!,55-64,Female
418,419, sg321| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,3,I began taking methadone due to narcotic dependence and chronic pain due to a leg injury 10 years ago. At first it worked really well| but as with all narcotics| I became very tolerant & I am now on a high dose. I have side effects such as profuse sweating (I saw several people say they experience that as well)| my menstrual cycle has stopped| I have gained weight and it is no longer really helping the pain. My doctor put me on Percocet & MS Contin to help with the pain on top of the methadone. As soon as I have my surgery| I am going to stop the methadone slowly to keep the side effects from being untolerable.,35-44,Female
419,420, fishtank| 25-34 Male  on Treatment for 1 to 6 months (Patient) ,3,5,3,just started  taking the done about 6 weeks ago. its made4 a drastic improvement on my usage of illegal drugs. it almost feels as if im cheating by trading one for another but its working better than the cultish 12 step program people try to brain wash u with. its easy to quit using but hard to stay away from using for good. iwas a slave to drugs and am happy to be off. but going to a clinic every day makes me feel as if im still a slave. i just wanna be free and its so hard. if only there was a way to reprogram the mind rather than take a drug. maybe N.L.P. will work but maybe not. i still use from ocasional and its a battle cuz im expecting to get high and dont and waste my money. i know im just starting so maybe a few more dose increases will help. i just wanna be done with this shit and dont know what to do. its and endless battle and i will win in time. if anybody has some advise to help me please tell cause im trying to win but im sure am exhausted from this war. i wont throw in the flag. i wont. inpatient and 12 step is not my style so whats an new alternative that has real winning results?,25-34,Male
